Time_Stamp,CPU_Usage,Ram_Usage,DataDir_DirectorySize,CPUtemperature
2016-09-29 22:16:01,9.6,17.7,2111741,59.1
2016-09-29 22:17:31,9.6,17.8,2188696,59.1
2016-09-29 22:18:01,9.6,17.1,2209409,58.5
2016-09-29 22:20:02,9.6,18.0,2321879,61.2
2016-09-29 22:22:01,9.6,18.1,2443226,60.1
2016-09-29 22:24:01,9.6,18.4,2537928,60.1
2016-09-29 22:26:02,9.6,18.5,2677030,59.6
2016-09-29 22:28:01,9.7,18.6,2807254,61.2
2016-09-29 22:30:01,9.7,18.6,2961219,61.2
2016-09-29 22:32:01,9.7,18.6,3079727,64.5
2016-09-29 22:34:01,9.7,18.7,3189342,61.2
2016-09-29 22:36:02,9.7,18.7,3301926,60.1
2016-09-29 22:38:01,9.7,18.8,3393769,59.1
2016-09-29 22:40:01,9.7,18.8,3476719,58.5
2016-09-29 22:42:02,9.7,18.4,3574486,65.0
2016-09-29 22:44:01,9.7,19.1,3681139,59.1
2016-09-29 22:46:02,9.7,19.1,3756471,59.1
2016-09-29 22:48:01,9.7,18.6,3880889,62.3
2016-09-29 22:50:01,9.7,19.4,3990511,59.1
2016-09-29 22:52:01,9.7,19.4,4111981,58.5
2016-09-29 22:54:01,9.7,19.8,4191969,57.5
2016-09-29 22:56:02,9.7,19.7,4271957,58.5
2016-09-29 22:58:01,9.7,19.6,4357876,58.0
2016-09-29 23:00:01,9.7,19.6,4426014,59.1
2016-09-29 23:02:02,9.7,18.7,4497116,58.0
2016-09-29 23:04:01,9.7,18.7,4591921,57.5
2016-09-29 23:06:01,9.7,18.6,4668954,58.0
2016-09-29 23:08:01,9.8,18.6,4787455,58.0
2016-09-29 23:10:01,9.8,18.6,4897070,58.0
2016-09-29 23:12:02,9.8,18.6,5006692,60.1
2016-09-29 23:14:01,9.8,18.6,5080756,58.0
2016-09-29 23:16:01,9.8,18.7,5175561,58.5
2016-09-29 23:18:01,9.8,18.7,5240739,61.2
2016-09-29 23:20:01,9.8,18.7,5323689,59.1
2016-09-29 23:22:01,9.8,18.9,5391836,58.5
2016-09-29 23:24:01,9.8,18.9,5468862,58.0
2016-09-29 23:26:01,9.8,18.4,5551812,56.9
2016-09-29 23:28:02,9.8,18.3,5634769,56.9
2016-09-29 23:30:01,9.8,18.4,5738460,58.0
2016-09-29 23:32:01,9.8,18.6,5806600,56.9
2016-09-29 23:34:01,9.8,18.6,5880664,58.0
2016-09-29 23:36:01,9.8,18.2,5981400,56.9
2016-09-29 23:38:01,9.8,19.1,6052502,56.9
2016-09-29 23:40:01,9.8,19.1,6117680,56.4
2016-09-29 23:42:01,9.8,19.1,6182856,56.9
2016-09-29 23:44:02,9.8,19.0,6265806,55.8
2016-09-29 23:46:01,9.8,16.8,6345801,56.4
2016-09-29 23:48:01,9.8,18.0,6437637,57.5
2016-09-29 23:50:01,9.8,18.5,6511708,56.9
2016-09-29 23:52:01,9.8,18.5,6553183,56.4
2016-09-29 23:54:02,9.8,18.5,6615399,56.9
2016-09-29 23:56:01,9.8,18.4,6683539,56.4
2016-09-29 23:58:01,9.8,18.7,6757603,57.5
2016-09-30 00:00:02,9.8,18.8,6822781,59.6
2016-09-30 00:02:01,9.8,18.8,6905738,57.5
2016-09-30 00:04:01,9.8,18.8,6973878,59.1
2016-09-30 00:06:02,9.8,18.8,7071645,58.0
2016-09-30 00:08:01,9.8,18.9,7133861,56.9
2016-09-30 00:10:01,9.8,18.9,7157557,56.9
2016-09-30 00:12:02,9.8,18.9,7222735,56.4
2016-09-30 00:14:01,9.8,17.0,7293844,56.9
2016-09-30 00:16:02,9.8,16.9,7356060,57.5
2016-09-30 00:18:01,9.8,17.8,7415307,58.0
2016-09-30 00:20:01,9.8,18.1,7507150,59.1
2016-09-30 00:22:01,9.8,19.5,7527891,57.5
2016-09-30 00:24:01,9.8,19.5,7613803,56.9
2016-09-30 00:26:02,9.8,19.5,7678981,58.0
2016-09-30 00:28:01,9.8,19.1,7756014,58.0
2016-09-30 00:30:01,9.8,19.1,7806375,58.0
2016-09-30 00:32:02,9.9,19.5,7862667,60.7
