Time_Stamp,CPU_Usage,Ram_Usage,DataDir_DirectorySize,CPUtemperature
2016-09-29 22:46:01,28.1,15.7,3771063,61.8
2016-09-29 22:48:01,28.3,15.7,3895495,61.8
2016-09-29 22:50:01,28.5,15.2,4002155,62.8
2016-09-29 22:52:02,28.9,15.4,4126580,62.3
2016-09-29 22:54:01,28.5,15.5,4206575,61.8
2016-09-29 22:56:01,29.0,15.6,4286563,62.3
2016-09-29 22:58:02,29.2,15.7,4372482,62.3
2016-09-29 23:00:01,28.9,16.4,4440622,62.3
2016-09-29 23:02:01,28.7,16.5,4511724,61.2
2016-09-29 23:04:01,28.4,16.6,4606529,61.8
2016-09-29 23:06:01,28.2,16.6,4683555,61.2
2016-09-29 23:08:01,28.0,16.5,4802063,61.2
2016-09-29 23:10:01,27.8,16.1,4911678,62.3
2016-09-29 23:12:01,28.2,15.3,5021300,63.4
2016-09-29 23:14:01,28.0,15.4,5095364,62.3
2016-09-29 23:16:01,27.8,15.5,5187207,62.3
2016-09-29 23:18:01,27.6,15.5,5255346,61.2
2016-09-29 23:20:02,28.2,15.6,5338296,63.4
2016-09-29 23:22:01,27.9,15.8,5406436,61.8
2016-09-29 23:24:01,27.8,15.8,5483469,62.3
2016-09-29 23:26:01,27.6,16.3,5566419,61.2
2016-09-29 23:28:01,27.4,16.2,5649376,61.2
2016-09-29 23:30:02,28.2,16.2,5753067,69.3
2016-09-29 23:32:01,28.5,16.0,5821207,62.8
2016-09-29 23:34:01,28.3,16.1,5898233,62.3
2016-09-29 23:36:02,28.1,16.1,5996000,61.2
2016-09-29 23:38:01,28.6,16.1,6067109,63.4
2016-09-29 23:40:01,28.5,16.1,6132287,62.3
2016-09-29 23:42:02,28.9,16.1,6200427,62.3
2016-09-29 23:44:01,28.8,16.1,6280415,61.2
2016-09-29 23:46:02,28.6,16.8,6360403,62.3
2016-09-29 23:48:01,29.1,16.8,6452246,65.5
2016-09-29 23:50:01,29.1,16.7,6526317,62.3
2016-09-29 23:52:02,29.0,16.6,6567792,62.3
2016-09-29 23:54:01,28.9,16.6,6630008,61.8
2016-09-29 23:56:01,28.8,16.7,6698148,62.3
2016-09-29 23:58:02,28.7,16.1,6772212,62.3
2016-09-30 00:00:01,28.6,16.1,6837390,61.2
2016-09-30 00:02:01,28.4,16.2,6920347,61.8
2016-09-30 00:04:02,29.1,16.2,6988487,67.7
2016-09-30 00:06:01,29.7,16.4,7086254,63.4
2016-09-30 00:08:01,29.5,16.5,7148470,62.3
2016-09-30 00:10:02,29.4,16.5,7172166,62.3
2016-09-30 00:12:01,29.8,16.9,7237344,62.8
2016-09-30 00:14:01,29.7,16.8,7308446,62.3
2016-09-30 00:16:01,29.5,16.8,7370662,62.3
2016-09-30 00:18:01,29.4,16.3,7429916,62.3
2016-09-30 00:20:02,29.5,16.2,7521758,63.9
2016-09-30 00:22:01,29.4,16.2,7542499,62.3
2016-09-30 00:24:01,29.3,16.2,7628411,62.3
2016-09-30 00:26:01,29.2,16.2,7690627,62.3
2016-09-30 00:28:01,30.2,16.6,7770622,64.5
2016-09-30 00:30:02,30.1,16.6,7820983,62.8
2016-09-30 00:32:01,30.0,17.4,7877275,62.3
